k,raw_accuracy,layer_projector_e200_projected_accuracy,layer_projector_e_200_pw_5_projected_accuracy,layer_projector_projected_accuracy
1,0.6369033784783114,0.6083373829998521,0.5919837731623318,0.624712121532253
3,0.636523061970462,0.6281772274926578,0.6202750956073443,0.6543556804496187
5,0.6428194130448562,0.6406431574721629,0.6367343489192673,0.6712375076591519
7,0.6406009000824019,0.6476790128673752,0.6456717868537261,0.6788649665110186
9,0.6384880305943502,0.6504257432018424,0.6485241606625959,0.6822666863867819
11,0.6346426081260961,0.6524752266052526,0.6518836231485982,0.6842105263157895
13,0.6320860360455535,0.6530034439772655,0.6538274630776056,0.6868093557860931
15,0.6288110883390733,0.6541443935008134,0.6554966299731666,0.6880982061738047
17,0.6250079232605802,0.6558769464810159,0.6564474212427899,0.6884573939867734
19,0.6227260242134843,0.6543134230598576,0.6569333812250417,0.6895772148154409
21,0.6202117095227028,0.6541021361110524,0.6588772211540493,0.6900209174079317
23,0.6178664243909654,0.6543768091444991,0.6597012402543895,0.6922816877601471
25,0.6135772993302204,0.6557924317014938,0.6594265672209427,0.692154915590864
27,0.6120982906885841,0.6558769464810159,0.6595533393902259,0.6913942825751653
29,0.6085697986435378,0.6557713030066132,0.6587081915950052,0.6919436286420588
31,0.6065414439350081,0.6557079169219717,0.659637854169748,0.6925986181833548
33,0.605759682224429,0.6547782543472289,0.6595110820004648,0.6931268355553677
35,0.602780536246276,0.654862769126751,0.6591307654926155,0.6928310338270405
37,0.6011958841302373,0.6547782543472289,0.659637854169748,0.6924507173191912
39,0.5986393120496947,0.6544190665342602,0.6596167254748674,0.6930845781656068
41,0.5972236894927,0.6556234021424496,0.6598491411185531,0.692936677301443
43,0.5950896913097677,0.6557713030066132,0.6601238141519998,0.6925352320987133
45,0.594160028735025,0.6561727482093431,0.6600604280673583,0.6925774894884743
47,0.5926387627036278,0.6558135603963743,0.6603562297956855,0.6931268355553677
49,0.5910329818927085,0.6556234021424496,0.6608210610830569,0.6928732912168015
51,0.589173656743223,0.6549050265165121,0.6614126645397114,0.6926197468782354
61,0.5825603752456211,0.653066830061907,0.6605463880496102,0.6916055695239705
71,0.5742567981575778,0.6521371674871643,0.6611379915062646,0.6921337868959835
91,0.5637135794121997,0.6517357222844344,0.6600392993724777,0.6919224999471782
121,0.551184263348053,0.6500876840837542,0.6606309028291323,0.69158444082909
151,0.5407466880770775,0.64869319022164,0.6587504489847662,0.6908449365082718
181,0.5317247353630966,0.6470240233260791,0.6593631811363012,0.6903378478311395
218,0.5220900504975807,0.6455661433793235,0.6583490037820364,0.6896194722052019
252,0.5167022333030489,0.6452069555663547,0.6581165881383507,0.6889222252741448
